Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Cronartium	0.984	0.9597	400	Cronartium	0.984	0.9597	400	119	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tephrocybe	0.969	0.8681	400	Tephrocybe	0.969	0.8681	400	66	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Roccella	0.97	0.8568	400	Roccella	0.97	0.8568	400	229	27	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Boletellus	0.923	0.9293	400	Boletellus	0.923	0.9293	400	79	18	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Phaeoisaria	0.981	0.9169	400	Phaeoisaria	0.981	0.9169	400	44	14	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Jattaea	0.993	0.8646	400	Jattaea	0.993	0.8646	400	32	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Teichospora	0.991	0.8876	400	Teichospora	0.991	0.8876	400	35	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Capronia	0.984	0.8787	400	Capronia	0.984	0.8787	400	38	19	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lecanora	0.971	0.7812	400	All	0.991	0.8232	400	955	187	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Ceriporiopsis	0.956	0.9653	400	Ceriporiopsis	0.956	0.9653	400	175	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Pyxine	0.976	0.8373	400	Pyxine	0.976	0.8373	400	63	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Favolaschia	0.957	0.9235	400	Favolaschia	0.957	0.9235	400	67	17	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Cylindrocladiella	0.998	0.8163	400	All	0.991	0.8232	400	74	16	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Calogaya	0.986	0.7613	400	All	0.991	0.8232	400	222	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Seirophora	0.983	0.7703	400	All	0.991	0.8232	400	46	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Variospora	0.987	0.6926	400	All	0.991	0.8232	400	61	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Protoblastenia	0.985	0.7073	400	All	0.991	0.8232	400	51	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Rhizoplaca	0.983	0.8423	400	Rhizoplaca	0.983	0.8423	400	425	18	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Pachyphlodes	0.974	0.8915	400	Pachyphlodes	0.974	0.8915	400	145	16	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Plagiostoma	0.996	0.8502	400	Plagiostoma	0.996	0.8502	400	92	37	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Gnomonia	0.991	0.9022	400	Gnomonia	0.991	0.9022	400	83	25	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Gnomoniopsis	0.996	0.9516	400	Gnomoniopsis	0.996	0.9516	400	182	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Preussia	0.94	0.8346	400	Preussia	0.94	0.8346	400	105	20	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Gelasinospora	0.995	0.5814	400	All	0.991	0.8232	400	42	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Corollospora	0.98	0.8806	400	Corollospora	0.98	0.8806	400	107	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Saturnispora	0.961	0.7976	400	All	0.991	0.8232	400	58	17	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Myrmecridium	0.966	0.7776	400	All	0.991	0.8232	400	85	21	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Derxomyces	0.997	0.8111	400	All	0.991	0.8232	400	87	35	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Dermoloma	0.966	0.9136	400	Dermoloma	0.966	0.9136	400	61	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Rhodocollybia	0.973	0.885	400	Rhodocollybia	0.973	0.885	400	174	23	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Bolbitius	0.974	0.8583	400	Bolbitius	0.974	0.8583	400	82	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Venturia	0.995	0.8434	400	Venturia	0.995	0.8434	400	365	34	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Sarcogyne	0.95	0.7174	400	All	0.991	0.8232	400	74	22	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Kretzschmaria	0.973	0.9	400	Kretzschmaria	0.973	0.9	400	88	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Neoantrodia	0.991	0.8244	400	Neoantrodia	0.991	0.8244	400	166	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Phaeotremella	0.989	0.7201	400	All	0.991	0.8232	400	74	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Entyloma	0.998	0.8412	400	Entyloma	0.998	0.8412	400	121	56	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Stereocaulon	0.987	0.7482	400	All	0.991	0.8232	400	287	59	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Steccherinum	0.995	0.7933	400	All	0.991	0.8232	400	262	31	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
