Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	max proportion	fasta filename	classification filename
species	Sistotrema	0.883	0.9117	158	22	50	0.3977	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Bovista	0.986	0.6985	110	21	50	0.2017	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Microdochium	0.969	0.9473	83	11	50	0.2111	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rhizoplaca	0.965	0.8553	261	16	50	0.2633	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Diplodia	0.99	0.9456	316	19	50	0.5074	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tulosesus	0.988	0.8891	49	16	50	0.1633	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hypholoma	0.979	0.9304	157	15	50	0.4444	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Punctelia	0.959	0.8378	77	15	50	0.243	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Mortierella	0.985	0.895	453	34	50	0.558	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Artomyces	0.984	0.937	59	16	50	0.4576	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Resupinatus	0.979	0.8759	55	16	50	0.1587	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Xylodon	0.988	0.8784	372	44	50	0.1248	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Strigula	0.946	0.9523	53	16	50	0.2414	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hypogymnia	0.989	0.8021	212	49	50	0.1429	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rasamsonia	0.991	0.8945	74	11	50	0.3191	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Stachybotrys	0.961	0.9337	108	14	50	0.4566	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Placopsis	0.983	0.86	64	24	50	0.1538	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ceriporia	0.969	0.8186	217	27	50	0.2766	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Fulvifomes	0.982	0.8998	63	27	50	0.1176	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Marasmius	0.983	0.7999	486	129	50	0.0566	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Otidea	0.971	0.8552	139	30	50	0.1429	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Nephroma	0.946	0.8123	179	22	50	0.2462	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tricholomopsis	0.965	0.891	74	12	50	0.2208	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tephrocybe	0.969	0.8228	34	10	50	0.2571	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Apiospora	0.973	0.6922	169	35	50	0.2047	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hygrophorus	0.974	0.8225	365	78	50	0.0517	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Gautieria	0.963	0.7728	62	14	50	0.4559	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Helminthosporium	0.97	0.8812	81	25	50	0.2593	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Psilocybe	0.99	0.8944	178	36	50	0.1205	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Crinipellis	0.981	0.8395	82	24	50	0.1556	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cyberlindnera	0.968	0.8978	197	28	50	0.2798	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
